,id,ci,ii,name,cccc,cc,iso_cc,lat,lon,elev,info,vtime,mtime,changed_id,changes,ue,si_id,eoi,loc,type,HG,PM10,PM2_5,SO2,NO,NO2,NOx,CO,BEN,H2S,O3,coord,x,y,lat_lon
0,78001,78,11813,"BRATISLAVA, JESENIOVA",,SK,703,48.167952,17.106209,283.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78001,SK0048A,S,B,0,1,1,1,1,1,1,0,0,0,1,"(21, 92)",21,92,"(48.152134, 17.130432)"
1,78002,78,11916,"CHOPOK, EMEP",,SK,703,48.94362,19.589236,1958.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78002,SK0002R,R,B,0,0,0,0,1,1,1,0,0,0,1,"(40, 130)",40,130,"(48.928993, 19.58075)"
2,78003,78,11952,"GANOVCE, METEO. ST.",,SK,703,49.034601,20.322844,682.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78003,SK0041A,R,B,0,0,0,0,1,1,1,0,0,0,1,"(43, 141)",43,141,"(49.038628, 20.296814)"
3,78004,78,11958,KOJSOVSKA HOLA,,SK,703,48.782875,20.987112,1230.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78004,SK0042A,R,B,0,0,0,0,1,1,1,0,0,0,1,"(37, 152)",37,152,"(48.76358, 20.986572)"
4,78005,78,99111,"BRATISLAVA, MAMATEYOVA",,SK,703,48.124692,17.1254,134.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78005,SK0001A,U,B,0,1,1,1,1,1,1,0,0,1,1,"(20, 92)",20,92,"(48.10979, 17.13034)"
5,78006,78,99112,"BRATISLAVA, TRNAVSKE MYTO",,SK,703,48.158359,17.128891,140.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78006,SK0002A,U,T,0,1,1,0,1,1,1,1,1,0,0,"(21, 92)",21,92,"(48.152134, 17.130432)"
6,78007,78,99114,"BRATISLAVA, KAMENNE NAM.",,SK,703,48.14467,17.113543,146.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78007,SK0004A,U,B,0,1,1,0,0,0,0,0,0,0,0,"(21, 92)",21,92,"(48.152134, 17.130432)"
7,78008,78,99122,"SENICA, HVIEZDOSLAVOVA",,SK,703,48.680681,17.36311,207.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78008,SK0021A,U,T,0,1,1,1,0,0,0,0,0,0,0,"(33, 96)",33,96,"(48.659653, 17.388062)"
8,78009,78,99123,"TRNAVA, KOLLAROVA",,SK,703,48.371385,17.584926,144.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78009,SK0045A,U,T,0,1,1,0,1,1,1,1,1,0,0,"(26, 99)",26,99,"(48.36253, 17.577057)"
9,78038,78,99126,TRNOVEC NAD VAHOM,,SK,703,48.15,17.9286,114.0,,1990-01-01 00:00:00,2020-04-01 16:12:16,,,0,78038,NoCode-99126,S,B,0,0,0,0,0,0,0,0,0,0,0,"(21, 105)",21,105,"(48.14837, 17.955536)"
10,78010,78,99128,"TRENCIN, HASICSKA",,SK,703,48.896419,18.04124,216.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78010,SK0047A,U,T,0,1,1,1,1,1,1,1,1,0,0,"(39, 106)",39,106,"(48.90982, 18.033905)"
11,78039,78,99130,"OSLANY, SE NOVAKY",,SK,703,48.6333,18.47,228.0,,1990-01-01 00:00:00,2020-04-01 16:12:16,,,0,78039,NoCode-99130,S,B,0,0,0,0,0,0,0,0,0,0,0,"(33, 113)",33,113,"(48.65119, 18.477386)"
12,78000,78,99132,"MALACKY, MIEROVE NAMESTIE",,SK,703,48.436843,17.019052,165.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78000,SK0407A,U,T,0,1,1,1,1,1,1,1,1,0,0,"(28, 90)",28,90,"(48.448605, 17.00351)"
13,78011,78,99134,"NITRA, JANIKOVCE",,SK,703,48.283059,18.140716,140.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78011,SK0134A,U,B,0,1,1,0,1,1,1,0,0,0,1,"(24, 108)",24,108,"(48.27371, 18.148682)"
14,78012,78,99135,"NITRA, STUROVA",,SK,703,48.309436,18.07687,151.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78012,SK0269A,U,T,0,1,1,1,1,1,1,1,1,0,0,"(25, 107)",25,107,"(48.31664, 18.085938)"
15,78051,78,99138,"SERED, VINARSKA",,SK,703,48.283655,17.735158,128.0,,2020-01-01 00:00:00,2021-01-12 16:52:38,,,0,78051,SK0063A,U,B,0,1,1,0,1,1,1,0,0,0,0,"(24, 101)",24,101,"(48.277164, 17.70337)"
16,78013,78,99214,"BANSKA BYSTRICA, STEFANIKOVO NABREZIE",,SK,703,48.73511,19.154985,340.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78013,SK0214A,U,T,0,1,1,1,1,1,1,1,1,0,0,"(35, 124)",35,124,"(48.725086, 19.185516)"
17,78014,78,99215,"BANSKA BYSTRICA, ZELENA",,SK,703,48.733486,19.115325,422.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78014,SK0263A,U,B,0,1,1,0,1,1,1,0,0,0,1,"(35, 123)",35,123,"(48.72623, 19.121368)"
18,78040,78,99223,RUZOMBEROK SUPRA SCP,,SK,703,49.0786,19.32,478.0,,1990-01-01 00:00:00,2020-04-01 16:12:16,,,0,78040,NoCode-99223,U,I,0,0,0,0,0,0,0,0,0,0,0,"(43, 126)",43,126,"(49.061134, 19.328857)"
19,78015,78,99224,"RUZOMBEROK, RIADOK",,SK,703,49.079025,19.302536,479.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78015,SK0008A,U,B,0,1,1,1,1,1,1,1,1,1,1,"(43, 126)",43,126,"(49.061134, 19.328857)"
20,78016,78,99235,"ZIAR NAD HRONOM, JILEMNICKEHO",,SK,703,48.59959,18.842841,293.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78016,SK0268A,U,B,0,1,1,0,0,0,0,0,0,0,0,"(32, 119)",32,119,"(48.603527, 18.86026)"
21,78017,78,99242,"BYSTRICANY, ROZVODNA SSE",,SK,703,48.666957,18.514107,251.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78017,SK0013A,S,B,0,1,1,0,0,0,0,1,0,0,0,"(33, 114)",33,114,"(48.650387, 18.541443)"
22,78018,78,99243,"HANDLOVA, MOROVIANSKA CESTA",,SK,703,48.733096,18.756472,429.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78018,SK0027A,U,B,0,1,1,1,0,0,0,0,0,0,0,"(35, 117)",35,117,"(48.73241, 18.73645)"
23,78019,78,99246,"PRIEVIDZA, MALONECPALSKA",,SK,703,48.782641,18.628071,269.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78019,SK0050A,U,B,0,1,1,1,1,1,1,0,0,0,1,"(36, 115)",36,115,"(48.776516, 18.609436)"
24,78020,78,99252,"ZILINA, OBEZNA",,SK,703,49.21147,18.771289,357.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78020,SK0020A,U,B,0,1,1,0,1,1,1,0,0,0,1,"(46, 117)",46,117,"(49.19783, 18.752045)"
25,78021,78,99261,"HNUSTA, HLAVNA",,SK,703,48.583789,19.951648,309.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78021,SK0022A,U,B,0,1,1,0,0,0,0,0,0,0,0,"(32, 136)",32,136,"(48.58171, 19.947876)"
26,78022,78,99262,"ZVOLEN, J. ALEXYHO",,SK,703,48.558198,19.156881,315.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78022,SK0262A,U,B,0,1,1,0,0,0,0,0,0,0,0,"(31, 124)",31,124,"(48.555817, 19.178467)"
27,78023,78,99271,"MARTIN, JESENSKEHO",,SK,703,49.05963,18.921378,397.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78023,SK0039A,U,T,0,1,1,0,1,1,1,1,1,0,0,"(43, 120)",43,120,"(49.067963, 18.941498)"
28,78024,78,99281,"JELSAVA, JESENSKEHO",,SK,703,48.631194,20.240498,271.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78024,SK0025A,U,B,0,1,1,0,1,1,1,0,0,0,1,"(33, 141)",33,141,"(48.61573, 20.270203)"
29,78025,78,99310,"KOSICE, STEFANIKOVA",,SK,703,48.72631,21.258902,211.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78025,SK0267A,U,T,0,1,1,0,1,1,1,0,1,0,0,"(36, 156)",36,156,"(48.71253, 21.239624)"
30,78037,78,99313,"KOSICE, DUMBIERSKA",,SK,703,48.7530556,21.245,202.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78037,SK0016A,U,B,0,0,0,0,0,0,0,0,0,0,1,"(37, 156)",37,156,"(48.754807, 21.243042)"
31,78026,78,99315,"VELKA IDA, LETNA",,SK,703,48.592119,21.175224,207.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78026,SK0018A,S,I,0,1,1,0,0,0,0,1,0,0,0,"(33, 155)",33,155,"(48.587955, 21.165466)"
32,78027,78,99316,"KOSICE, AMURSKA",,SK,703,48.690223,21.285495,195.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78027,SK0264A,U,B,0,1,1,0,0,0,0,0,0,0,0,"(35, 157)",35,157,"(48.667984, 21.300201)"
33,78028,78,99323,"PRESOV, ARM. GEN. L. SVOBODU",,SK,703,48.992475,21.266767,244.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78028,SK0266A,U,T,0,1,1,0,1,1,1,1,1,0,0,"(43, 156)",43,156,"(49.00839, 21.263763)"
34,78052,78,99325,"BARDEJOV, POD VINBARGOM",,SK,703,49.299877,21.277276,263.0,,2020-01-01 00:00:00,2021-01-12 16:52:38,,,0,78052,SK0074A,U,B,0,1,1,0,1,1,1,0,0,0,1,"(50, 156)",50,156,"(49.30416, 21.288147)"
35,78054,78,99326,"TREBISOV, T. G. MASARYKA",,SK,703,48.628342,21.713183,107.0,,2021-05-03 00:00:00,2021-05-03 18:09:54,,,0,78054,SK0073A,U,B,0,1,1,0,1,1,1,0,0,0,1,"(34, 164)",34,164,"(48.608833, 21.744263)"
36,78029,78,99334,"KROMPACHY, SNP",,SK,703,48.915658,20.873901,371.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78029,SK0265A,U,T,0,1,1,1,1,1,1,1,1,0,0,"(41, 150)",41,150,"(48.93687, 20.87082)"
37,78041,78,99350,"LELES, SE VOJANY",,SK,703,48.4628,22.0231,100.0,,1990-01-01 00:00:00,2020-04-01 16:12:16,,,0,78041,NoCode-99350,R,B,0,0,0,0,0,0,0,0,0,0,0,"(31, 169)",31,169,"(48.469006, 22.051514)"
38,78030,78,99351,"HUMENNE, NAM. SLOBODY",,SK,703,48.930897,21.913688,145.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78030,SK0037A,U,B,0,1,1,0,1,1,1,0,0,0,1,"(42, 166)",42,166,"(48.94169, 21.903717)"
39,78031,78,99352,"STRAZSKE, MIEROVA",,SK,703,48.874013,21.837536,134.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78031,SK0030A,U,B,0,1,1,0,0,0,0,0,0,0,0,"(40, 165)",40,165,"(48.859802, 21.831543)"
40,78032,78,99353,"VRANOV NAD TOPLOU, M. R. STEFANIKA",,SK,703,48.886367,21.68758,126.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78032,SK0031A,U,B,0,1,1,1,0,0,0,0,0,0,0,"(40, 163)",40,163,"(48.864887, 21.703125)"
41,78033,78,99401,"TOPOLNIKY, ASZOD, EMEP",,SK,703,47.959423,17.860238,109.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78033,SK0007R,R,B,1,1,1,1,1,1,1,0,0,0,1,"(17, 104)",17,104,"(47.979477, 17.889221)"
42,78034,78,99403,"STARINA, VODNA NADRZ, EMEP",,SK,703,49.042734,22.260012,324.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78034,SK0006R,R,B,1,0,0,0,1,1,1,0,0,0,1,"(45, 171)",45,171,"(49.05488, 22.237946)"
43,78035,78,99404,"STARA LESNA, AU SAV, EMEP",,SK,703,49.151384,20.289529,808.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78035,SK0004R,R,B,0,1,1,0,1,1,1,0,0,0,1,"(46, 141)",46,141,"(49.165466, 20.30487)"
44,78036,78,99406,KOLONICKE SEDLO,,SK,703,48.934886,22.273772,449.0,,1990-01-01 00:00:00,2020-03-31 16:12:45,,,0,78036,SK0406A,R,B,0,1,1,0,0,0,0,0,0,0,0,"(42, 172)",42,172,"(48.92539, 22.28946)"
45,78042,78,99501,ROVINKA (SLOVNAFT),,SK,703,48.104,17.2278,133.0,,1990-01-01 00:00:00,2020-04-01 16:12:16,,,0,78042,NoCode-99501,S,I,0,1,1,1,1,1,1,1,1,0,1,"(20, 94)",20,94,"(48.10958, 17.257172)"
46,78043,78,99502,BRATISLAVA POD. BISKUPICE (SLOVNAFT),,SK,703,48.1347,17.2056,132.0,,1990-01-01 00:00:00,2020-04-01 16:12:16,,,0,78043,NoCode-99502,U,B,0,1,1,1,1,1,1,1,0,0,1,"(21, 93)",21,93,"(48.152046, 17.193909)"
47,78044,78,99503,BRATISLAVA VLCIE HRDLO (SLOVNAFT),,SK,703,48.1333,17.1694,134.0,,1990-01-01 00:00:00,2020-04-01 16:12:16,,,0,78044,NoCode-99503,S,I,0,1,0,1,1,1,1,1,0,1,1,"(21, 93)",21,93,"(48.152046, 17.193909)"
48,78045,78,99701,USS VELKA IDA,,SK,703,48.5597,21.17,208.0,,1990-01-01 00:00:00,2020-04-01 16:12:16,,,0,78045,NoCode-99701,S,I,0,0,0,0,0,0,0,0,0,0,0,"(32, 155)",32,155,"(48.545677, 21.16211)"
49,78046,78,99702,USS POLOV,,SK,703,48.6611,21.1983,271.0,,1990-01-01 00:00:00,2020-04-01 16:12:16,,,0,78046,NoCode-99702,R,B,0,0,0,0,0,0,0,0,0,0,0,"(35, 155)",35,155,"(48.67251, 21.17218)"
50,78047,78,99703,USS HANISKA,,SK,703,48.615,21.2519,212.0,,1990-01-01 00:00:00,2020-04-01 16:12:16,,,0,78047,NoCode-99703,S,I,0,0,0,0,0,0,0,0,0,0,0,"(34, 156)",34,156,"(48.62799, 21.232788)"
51,78048,78,99801,MOBIL ROVINKA,,SK,703,0.0,0.0,0.0,,1990-01-01 00:00:00,2020-04-01 16:12:16,,,0,78048,NoCode-99801,,,0,1,0,1,1,1,1,1,1,0,0,"(0, 0)",0,0,"(47.12804, 11.394592)"
52,78049,78,99802,MOBIL 2,,SK,703,0.0,0.0,0.0,,1990-01-01 00:00:00,2020-04-01 16:12:16,,,0,78049,NoCode-99802,,,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0,0,"(47.12804, 11.394592)"
53,78055,78,99807,MOBIL-N2 BL058YN,,SK,703,,,,,2021-05-03 00:00:00,2021-05-03 18:09:54,,,0,78055,NoCode-99807,,,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0,0,"(47.12804, 11.394592)"
54,78050,78,99808,MOBIL 6 BL047YN,,SK,703,0.0,0.0,0.0,,1990-01-01 00:00:00,2020-04-01 16:12:16,,,0,78050,NoCode-99808,,,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0,0,"(47.12804, 11.394592)"
55,78053,78,99811,MOBIL 1,,SK,703,0.0,0.0,0.0,,2020-01-01 00:00:00,2021-01-12 16:52:38,,,0,78053,NoCode-99811,,,0,0,0,0,0,0,0,0,0,0,0,"(0, 0)",0,0,"(47.12804, 11.394592)"
